Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please evaluate your familiarity of Ukiyo-e images,Your last obtained education degree,,Your major research/study area,,https://research.britishmuseum.org/collectionimages/AN00759/AN00759298_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00530/AN00530983_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00423/AN00423991_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00759/AN00759711_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00834/AN00834949_001_l.jpg
,,,,,,,,,Response,Response,Other,Response,Other,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
11227853051,251548840,12/17/2019 03:38:35 PM,12/17/2019 03:46:47 PM,133.19.169.1,,,,,3,Bachelor,,Computer Science,,There are 2 mountains visible in the other side of the river. the mountain on the right side is far taller than the left side and covered in snow,"there are 2 women near the river. one of them is in the middle of washing her laundry, while the other woman is coming bringing pot and carrying a child on her back.",two woman are in the pictures. one of them is sitting and still fixing her appearance while looking in the hand mirror. The other one is standing and talking to the sitting one.,two samurai fighting each other in war,A woman is raising a kid with her hands while holding something on her mouth
11227852384,251548840,12/17/2019 03:37:16 PM,12/17/2019 03:44:05 PM,133.19.169.1,,,,,3,Master,,Computer Science,,大きな山の手前にある陸地と、湖を挟んで島が浮いている。,女性が山の中の川で洗濯をしている。,女性2人が家の中で身だしなみを整えている。,2人の武士が戦の中で槍を使って戦っている。,女性が家の中で赤ん坊の世話をしている。
11227852202,251548840,12/17/2019 03:36:44 PM,12/17/2019 03:41:41 PM,133.19.169.6,,,,,Unfamiliar,Master,,Computer Science,,湖と富士山の絵,海沿いの山を登る二人の女性と赤ん坊の絵,部屋の中で髪を整えている女性と、それを隣で見ている女性の絵,甲冑を着た二人の武将の戦いの絵,幼い子供と遊ぶ女性の絵
11227851629,251548840,12/17/2019 03:37:12 PM,12/17/2019 03:48:32 PM,133.19.169.1,,,,,2,Master,,Computer Science,,一部カラー。湖か海の奥に見える白い山の風景画。,カラー画像。川に水を汲みにきた背中に子供を抱っこしている女性と洗濯をしている女性。,カラー画像。2人の女の人がいて、一人はしゃがんで後ろを向き手鏡を持っている。もう一人は立ちその女性を見ている。,カラー画像。鎧を着た２人の男が闘っている。,カラー画像。女性が赤ん坊を抱え上げている。
11227850841,251548840,12/17/2019 03:36:35 PM,12/17/2019 03:43:59 PM,133.19.169.1,,,,,3,Bachelor,,Computer Science,,A beautiful sightseeing consists of a mountain and a lake,Women are laundering next to a small river ,"There are 2 women. One is looking at a mirror, one is standing watching another one.",There is a fight between two men. They look like samurai,The woman is carrying out the baby with a piece of paper in her mouth 
11227850832,251548840,12/17/2019 03:36:42 PM,12/17/2019 03:46:07 PM,133.19.169.6,,,,,3,Bachelor,,Computer Science,,"The picture show a beautiful view of a very high mountain along with a wide river. The context looks like, there is mist covering everything, there is one boat in the river. ","There are three person in the picture, two womans and one kid. They appear in the the mountain context, one one woman is carrying her kid, and the other woman is doing laundry in the river. From a distance, there is a house appear in the right corner of the picture.  ",There are two womans  in a traditional japanese room. They are wearing kimonos. One is sitting while the other is watching. ,There are two man fighting each other in the picture. It looks like they are generals from two different clans. ,A japanese woman is holding the kid. The woman wears kimono and so is the kid. There is a picture hanging in the room. It looks like they are mother and son. 
11227841876,251548840,12/17/2019 03:29:16 PM,12/17/2019 03:29:26 PM,133.19.43.10,,,,,4,Bachelor,,Art,,,,,,
11227764221,251548840,12/17/2019 02:20:42 PM,12/17/2019 02:21:04 PM,133.19.43.10,,,,,Very familiar,Doctor,,Computer Science,,,,,,
11227676097,251548840,12/17/2019 01:02:49 PM,12/17/2019 01:03:02 PM,118.17.36.248,,,,,Very familiar,Bachelor,,Computer Science,,,,,,
11227399139,251548840,12/17/2019 09:49:05 AM,12/17/2019 09:49:25 AM,118.17.36.248,,,,,4,Bachelor,,Computer Science,,,,,,
11227266046,251548840,12/17/2019 08:29:19 AM,12/17/2019 12:24:23 PM,58.191.198.91,,,,,Very familiar,High-school,,Psychology,,,,,,
11225976335,251548840,12/17/2019 12:32:12 AM,12/17/2019 12:32:29 AM,118.17.36.248,,,,,4,Bachelor,,Computer Science,,,,,,
