Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please evaluate your familiarity of Ukiyo-e images,Your last obtained education degree,,Your major research/study area,,https://research.britishmuseum.org/collectionimages/AN00327/AN00327154_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00523/AN00523667_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00219/AN00219992_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00691/AN00691974_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00611/AN00611816_001_l.jpg
,,,,,,,,,Response,Response,Other,Response,Other,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
11227857042,251549686,12/17/2019 03:41:48 PM,12/17/2019 03:48:18 PM,133.19.169.1,,,,,4,Bachelor,,Computer Science,,この浮世絵は人間（閻魔？）が鬼二匹を退治している。,この浮世絵では、二派閥の戦争が描かれている。場所は山の中、松が生えている。,この絵では男性一名、女性一名、性別不明一名が描かれており、女性は男性を拒絶しているように見える。,この浮世絵には三名の女性が描かれており、真ん中の女性は棒で川に浮いている皿をいじっている。背景は緑っぽく、桜のような花が咲いているので春だと思われる。,この浮世絵では女性四名と男性一名が描かれている。男性だけ荷物を持っており、春の散歩しているように見える。
11227854954,251549686,12/17/2019 03:39:52 PM,12/17/2019 03:51:11 PM,133.19.169.1,,,,,Unfamiliar,Master,,Psychology,,demon  slayer.,殺すの時に、洪水がはっせいして、みんなんさんは上に登ります。,この三人は、それぞれ自分の思いがあります。そして、三人のおもいが違います。,三人の女性が、川のとなりに、お碗で水をとる。,"girls are love and peace, but a man comes"
11227852380,251549686,12/17/2019 03:37:43 PM,12/17/2019 03:47:57 PM,126.255.78.124,,,,,Unfamiliar,Bachelor,,Computer Science,,黒い着物を着た巨人が小さい鬼にお仕置き,ら滝を登っていく人たち崖から生えた木の上で戦いなが,着物を着た女性がひげを生やしたおじさんに暴力をふるったところを目撃した若い男性,川にさらしてた皿を棒を使って取ろうとしている,着物を着た4人の女性が談笑してる後ろで男性が盗み聞き
11227852113,251549686,12/17/2019 03:37:31 PM,12/17/2019 03:49:53 PM,133.19.169.6,,,,,2,Bachelor,,Computer Science,,剣を持った男性がツノの生えた小さな鬼のような妖怪に掴みかかり、顔中に生えた髭を逆立たせるほどに威嚇しながら、斬りかかろうとしている,渓谷にある滝の側面で、武士たちが水に流されまいと滝から伸びている木にしがみつきながら、滝を登っている,化粧をした男女たちが押し合いをしている,春の桜が咲く頃、富士山の麓の川で、着物を召した女性３人が食器を洗っている,腰ほどの高さまで生えた雑草が生い茂る中で、大人の男女たち5人が立ちながら仲良く話をしている
11227851392,251549686,12/17/2019 03:37:02 PM,12/17/2019 03:46:11 PM,133.19.169.6,,,,,2,Master,,Computer Science,,1人のヒーローが2つのモンスターを攻撃しています,兵士たちは崖に落ちて、登って逃げていた,二人は戦っている、三人目は覗いている,富士山の下の小川で3人の美人がスプーンで飲んでいます,4人の女性がフィールドでチャットし、1人の男性が盗聴している
11227851320,251549686,12/17/2019 03:36:48 PM,12/17/2019 03:43:55 PM,133.19.169.6,,,,,2,Bachelor,,Computer Science,,Someone is fighting with ghosts,Some soldiers are climbing a very steep mountain,A woman rejected a man，Found by another woman,Some women are doing farm work,Some women are chatting，follow a man behind
11227851125,251549686,12/17/2019 03:36:51 PM,12/17/2019 03:37:18 PM,133.19.169.6,,,,,4,Bachelor,,Computer Science,,,,,,
11227842715,251549686,12/17/2019 03:29:58 PM,12/17/2019 03:30:07 PM,133.19.43.10,,,,,3,Master,,Psychology,,,,,,
11227676916,251549686,12/17/2019 01:03:31 PM,12/17/2019 01:06:29 PM,118.17.36.248,,,,,Unfamiliar,Master,,Computer Science,,,,,,
11227399615,251549686,12/17/2019 09:49:09 AM,12/17/2019 09:49:41 AM,118.17.36.248,,,,,3,Bachelor,,Computer Science,,,,,,
11227286164,251549686,12/17/2019 08:41:06 AM,12/17/2019 12:29:20 PM,58.191.198.91,,,,,Very familiar,High-school,,Computer Science,,,,,,
