Title,Source,Description,Keywords
print,https://research.britishmuseum.org/collectionimages/AN00418/AN00418022_001_l.jpg,Woodblock print. Kabuki. Actor Ichikawa Ebizo in the play Hasabe Chobei no Butsura. Benizuri-e on paper.,kabuki;actor/actress
Orandajin danjo no zu ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｿ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｭ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・ｾ・ﾂ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｺ・・ｻ・ｽｽ・ｽｺ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｷ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽ･・・ｻ・ｽｽ・ｽｳ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｹ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｳ (Picture of a Dutch Man and Woman),https://research.britishmuseum.org/collectionimages/AN00440/AN00440858_001_l.jpg,Colour woodblock print. Dutch man and woman. Nagasaki-e.,scientific instrument
Kakuchu Bijin Kurabe,https://research.britishmuseum.org/collectionimages/AN00516/AN00516233_001_l.jpg,Woodblock print. Bijinga. Morokoshi of the Echizenya pulling her kimono over her left shoulder. Nishiki-e on paper.,bijin
painting,https://research.britishmuseum.org/collectionimages/AN00758/AN00758688_001_l.jpg,Sketch. Deity. Ebisu feasting on fish. Ink on paper.,fish;feast/banquet;deity
Kaswaars dacho zokusetsu ni hi-kui tori to iu,https://research.britishmuseum.org/collectionimages/AN00512/AN00512212_001_l.jpg,Woodblock print.Nagasaki-e. Popular culture. Dutch man and Javanese slave offering coal to cassowary bird. Inscription. Nishiki-e on paper.,slave/slavery;foreigner;dutch;bird
print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422135_001_l.jpg,Woodblock print. Bijinga. Two young women on a veranda with small boy teasing the goldfish in a large bowl. Nishiki-e on paper.,fish;child;bijin
Tosei Yuri Bijin Awase,https://research.britishmuseum.org/collectionimages/AN00513/AN00513489_001_l.jpg,"Woodblock print. Popular culture. Two girls identically dressed, being solicited by a young man. Nishiki-e on paper.",child
Tenarai ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｿ・・ｻ・・ｻ・ｽｻ (No. 53 Writing Practice) / Genji kumo ukiyoe awase ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｺ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｰ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｲ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｵ・・ｻ・ｽｽ・ｽｮ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｸ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・ｽｽ・ｽｵ・・ｻ・ｽｽ・ｽｵ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ・・ｻ・・ｻ・ｽｻ (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00589/AN00589132_001_l.jpg,"Woodblock print, oban tate-e. Matsuo-maru holding his sheathed sword under the chin of a kneeling boy with Genba in red makeup behind him. Poem inscribed above.",warrior;poetry
After Tsukudajima / Digital Art Chapter Six: Animism,https://research.britishmuseum.org/collectionimages/AN16130/AN1613067837_l.jpg,"Photographic inkjet print made with Epson archival ink (Ultra Chrome K3 ink) on Epson Premium Luster paper. Interpretation of Utagawa Kuniyoshi's ""Tsukudajima"", from the series ""Toto meisho"", with people removed.   From a set of 26 prints in an edition of 10.",landscape
Furyu Nanatsume E-awase,https://research.britishmuseum.org/collectionimages/AN00516/AN00516198_001_l.jpg,Woodblock print. Popular culture. Head and shoulders of mother holding a baby with a toy snake in his hand. Nishiki-e on paper.,toy;reptile;child
print / egoyomi,https://research.britishmuseum.org/collectionimages/AN00440/AN00440416_001_l.jpg,"Woodblock print.E-goyomi. Girl flying on the back of a goose,possibly the Taoist Lady Ryujo or Chinese Liu Nu.Months concealed in sash. Nishiki-e on paper. According to reg' Kosenko ?, signed and dated.",myth/legend;bird
print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422006_001_l.jpg,Woodblock print. Popular culture. Girl helping young man in nagabakama to tie his waistband. Nishiki-e on paper.,costume/clothing
