url,caption_1,caption_2,name
https://research.britishmuseum.org/collectionimages/AN00423/AN00423713_001_l.jpg,a painting of a woman standing next to a painting,a painting of a woman holding a kite,AN00423713_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00421/AN00421017_001_l.jpg,a painting of a woman holding an umbrella,a painting of a woman holding an umbrella,AN00421017_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00595/AN00595832_001_l.jpg,a couple of men standing next to each other,a couple of men standing next to each other,AN00595832_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00537/AN00537401_001_l.jpg,a painting of a man on a wall with a kite,a painting of a person on a wall with a kite,AN00537401_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00246/AN00246310_001_l.jpg,a painting of a clock on a wall,a painting of a building with a clock on it,AN00246310_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00530/AN00530209_001_l.jpg,a painting of a woman holding a kite,a picture of a person on a wall,AN00530209_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00421/AN00421999_001_l.jpg,a painting of a painting on a wall,a painting of a painting of a man on a wall,AN00421999_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00440/AN00440751_001_l.jpg,a painting of a woman and a woman on a wall,a painting of a man and a woman on a wall,AN00440751_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00421/AN00421973_001_l.jpg,a woman is standing next to a statue,a woman standing next to a painting on a wall,AN00421973_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00516/AN00516236_001_l.jpg,a painting of a woman standing on a wall,a painting of a woman standing next to a wall,AN00516236_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00595/AN00595730_001_l.jpg,a black and white photo of a man and a woman,a couple of men standing next to each other,AN00595730_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00423/AN00423000_001_l.jpg,a wall with a mural on it,a wall with a painting of a man on it,AN00423000_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00516/AN00516199_001_l.jpg,a picture of a person on a wall,a painting of a person on a <unk>,AN00516199_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00423/AN00423805_001_l.jpg,a painting of a man standing next to a wall,a painting of a man standing next to a wall,AN00423805_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00611/AN00611840_001_l.jpg,a painting of a person on a bed,a painting of a man and a woman on a bed,AN00611840_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00453/AN00453874_001_l.jpg,a painting of a woman standing next to a wall,a painting of a woman standing next to a wall,AN00453874_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00423/AN00423067_001_l.jpg,a picture of a vase with flowers on it,a picture of a vase with flowers on it,AN00423067_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00440/AN00440425_001_l.jpg,a painting of a person on a wall,a painting of a man holding a pair of scissors,AN00440425_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00422/AN00422954_001_l.jpg,a picture of a woman and a girl,a picture of a woman sitting on a table,AN00422954_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00423/AN00423027_001_l.jpg,a painting of a woman on a wall with a skull on it,a painting of a person on a wall with a painting of a person,AN00423027_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00422/AN00422227_001_l.jpg,a painting of a painting of a person on a wall,a painting of a person on a cell phone,AN00422227_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00422/AN00422225_001_l.jpg,a painting of a woman standing next to a painting,a painting of a woman standing next to a wall,AN00422225_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00422/AN00422222_001_l.jpg,a painting of a painting on a wall,a painting of a painting on a wall,AN00422222_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00422/AN00422217_001_l.jpg,a painting of a woman standing next to a wall,a painting of a woman that is on a wall,AN00422217_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00440/AN00440703_001_l.jpg,a painting of a man holding a stuffed animal,a painting of a person with a cat on it,AN00440703_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00421/AN00421977_001_l.jpg,a picture of a woman on a wall,a painting of a person on a wall,AN00421977_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00422/AN00422050_001_l.jpg,a wall with a painting of a person on it,a painting of a cat on a wall,AN00422050_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00422/AN00422138_001_l.jpg,a picture of a person on a beach,a picture of a person on a bed,AN00422138_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00422/AN00422135_001_l.jpg,a painting of a man in a <unk> costume,a picture of a man and a woman,AN00422135_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00274/AN00274619_001_l.jpg,a person with a guitar and a guitar,a person with a skateboard in front of a wall,AN00274619_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00423/AN00423005_001_l.jpg,a painting of a bird on a wall,a painting of a bird on a wall,AN00423005_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00423/AN00423002_001_l.jpg,a painting of a man standing next to a painting,a painting of a painting of a man and a woman,AN00423002_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00776/AN00776110_001_l.jpg,a picture of a person holding a cow,a picture of a person on a skateboard,AN00776110_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00422/AN00422311_001_l.jpg,a painting of a person on a wall with a painting on it,a painting of a man with a mask on,AN00422311_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00510/AN00510294_001_l.jpg,a painting of a man standing next to a wall,a painting of a man on a wall with a painting on it,AN00510294_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00534/AN00534113_001_l.jpg,a painting of a man holding a skateboard,a painting of a person holding a skateboard,AN00534113_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00524/AN00524239_001_l.jpg,a painting of a person on a wall next to a painting,a painting of a woman standing next to a wall,AN00524239_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00583/AN00583022_001_l.jpg,a painting on the side of a wall with graffiti on it,a painting of a painting of a painting on a wall,AN00583022_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00583/AN00583023_001_l.jpg,a painting of a man sitting on a wall next to a painting,a painting of a man on a wall with a painting,AN00583023_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00434/AN00434443_001_l.jpg,a painting of a woman standing next to a painting,a painting of a woman standing next to a painting,AN00434443_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00756/AN00756149_001_l.jpg,a painting of a person on a wall with a kite,a picture of a person laying on a wall,AN00756149_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00229/AN00229844_001_l.jpg,a painting of a woman standing next to a wall,a painting of a woman standing in front of a door,AN00229844_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00792/AN00792469_001_l.jpg,a picture of a black and white picture of a <unk>,a group of birds flying over a white wall,AN00792469_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00436/AN00436665_001_l.jpg,a bird that is standing on a wall,a bird sitting on top of a white wall,AN00436665_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00436/AN00436661_001_l.jpg,a bird that is sitting on a wall,a close up of a bird on a wall,AN00436661_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00436/AN00436658_001_l.jpg,a picture of a person holding an orange balloon,a painting of a person holding an orange balloon,AN00436658_001_l.jpg
https://research.britishmuseum.org/collectionimages/AN00436/AN00436657_001_l.jpg,a picture of a bird on the wall,a picture of a bird on the wall,AN00436657_001_l.jpg
